Group.1,Group.2,Group.3,Glucuronic.acid,Fucose,Galactose,Mannose,Myo.inositol,Rhamnose,Scyllo.inositol,Xylose,Glucose
GRG,AM,T07,2.29243900779939,8.30755753310057,10.0323135503981,21.6822668499727,5.31205729637057,3.86514177047642,5.68748278197483,12.2900430513004,30.530698158607
GRC,AM,T07,3.86982276772323,3.66477277272273,6.61458179182082,28.2962526247375,0.474976252374763,2.61243125687431,6.7571600339966,15.5143620637936,32.1956404359564
RCA,AM,T07,2.80507552510076,1.9076195132512,7.0949105549991,17.2071296477463,2.41240227392402,3.35731253159813,4.49017803795178,5.26253428912534,55.4628376263034
RGA,AM,T07,2.54673800713405,4.12688835550222,7.95360502716938,22.5639910657732,0.6000033336667,2.24344167750108,4.79351235123512,6.56689568956896,48.6049244924492
RMO,AM,T07,0.742446264922963,1.41748277872192,7.67491911274199,14.0469395146446,9.58772665549034,2.43508328132444,3.61998380682071,6.80463688785741,53.6707816974757
RPE,AM,T07,1.77,3.3825,4.01,14.26,0.4225,0.7875,3.3825,4.735,67.25
GRG,AV,T07,0.682544256175968,2.63520453590668,4.65530529443222,11.5708651424754,18.5614455250786,1.29508301260212,2.19264102425446,5.48034781043618,52.9265633986383
GRC,AV,T07,1.08252550540025,0.907480757974808,3.02999152374992,5.33255478032555,3.2174295295493,0.342511502850115,3.8776397817264,1.17250800490008,81.0373586135236
RCA,AV,T07,0.804887276670994,4.67175563737374,4.31741636437411,14.4369973892359,12.6192859317249,1.7048450449953,5.13226662304548,4.28436561832911,52.0281801142504
RGA,AV,T07,1.92978503489473,1.51333168329968,3.47969307728843,17.4783047157749,0.84001601459892,0.399956678464674,4.50319908622375,2.6796963836256,67.1760173258294
RMO,AV,T07,1.34331900143319,4.25659767356598,6.0630796920308,21.1028787121288,13.696596340366,1.75324100923241,7.48311368863114,7.69311068893111,36.6080631936806
RPE,AV,T07,1.38002533586692,0.566693336000267,4.66016868353502,7.03032803280328,4.25677834450112,1.06336433643364,3.22010801080108,4.42011134446778,73.4024225755909
GRG,AM,T14,3.25008751840087,5.48786529572865,5.81767653740177,18.4279718892297,1.33005201275052,2.1301302670763,5.417800290578,12.9904428434794,45.1479733453547
GRC,AM,T14,4.37261176117612,2.56264151415141,7.64509950995099,23.0705155515552,0.57251900190019,1.83755075507551,7.96018051805181,6.42267126712671,45.5562101210121
RCA,AM,T14,3.35990934239909,3.7965596773656,4.87965536779655,7.72948605139486,0.313317334933173,0.459967336599673,4.32647501916475,2.52985501449855,72.6047748558477
RGA,AM,T14,2.765,4.6675,4.6325,19.5975,0.735,1.815,5.75,7.74,52.2975
RMO,AM,T14,0.0924967503249675,0.287479252074792,2.03741350864914,6.32965603439656,5.91726627337266,0.312485501449855,0.63496800319968,0.504972502749725,83.8832621737826
RPE,AM,T14,2.01986201379862,1.16496200379962,3.95478652134787,22.1637276272373,0.309992500749925,0.70499700029997,5.73474102589741,11.9591550844916,51.9877762223778
GRG,AV,T14,0.116663333666633,0.226658667466587,1.28663433656634,3.85654834516548,6.27660267306603,0.106664333566643,0.509993333999933,0.179995667099957,87.4402393094024
GRC,AV,T14,0.473403346135774,0.820117356471261,3.74391444738926,4.9473204564572,1.71018203607385,0.323385676635277,3.20373807668158,1.30351003440679,83.474428569749
RCA,AV,T14,1.25752451414908,1.70012001845056,7.1774083527129,10.0398323644602,4.20235482936416,0.825029009349645,3.00000453524657,3.79748304944472,68.0002433268222
RGA,AV,T14,3.22259302695093,6.21988629667386,10.2623485686985,27.9347644513726,3.30980103044801,1.64990726287407,11.3945655861957,12.1770586132456,23.8290751635408
RMO,AV,T14,0.297518251825183,0.985066506650665,3.66768101810181,7.91045454545455,21.9669479447945,0.440024502450245,2.22766201620162,1.29258850885089,61.2120567056706
RPE,AV,T14,0.489983751624837,0.56999700029997,3.52739751024898,5.63237601239876,5.8973902609739,0.224988251174883,2.15245925407459,0.619999500049995,80.8854084591541
GRG,AM,T21,2.07752175217522,7.26016226622662,7.81280903090309,18.5154765476548,2.98500875087509,3.35259825982598,11.3351075107511,10.0703425342534,36.5909733473347
GRC,AM,T21,5.31517601760176,2.69503425342534,12.3953512851285,23.135602060206,2.35009775977598,1.40504050405041,7.3802195219522,13.0277102710271,32.2957683268327
RCA,AM,T21,2.59242577447426,0.77500700530007,4.76755854040059,8.66495757879957,6.29296830677968,0.387496252874963,2.8899702756247,4.29509678947597,69.3345194762702
RGA,AM,T21,3.07747828077478,3.90758678907587,7.36756582367566,20.7294312072943,0.777544257775443,1.13994401139944,5.15002205150022,6.79006406790064,51.0603635106036
RMO,AM,T21,0.537496503199965,1.1299497606745,4.05009528577595,8.48007080922571,10.7901148318261,0.382518253575183,1.43250125947501,1.3200400094504,71.8772132867971
RPE,AM,T21,2.54347101376804,0.76004967163383,3.53018535186852,10.0738867220055,1.26666900023336,0.40001166783345,3.9968496849685,12.0435390205687,65.38533786712
GRG,AV,T21,1.24500126997702,2.12257629683121,6.01503508530923,11.219921155964,18.6622217204665,0.71250750930108,1.6425077754777,0.315021507751205,58.065207678922
GRC,AV,T21,1.0601625325065,0.995143028605721,6.26105921184237,9.34885777155431,5.82854470894179,0.455074014802961,5.82587967593519,2.27788107621524,67.9473979795959
RCA,AV,T21,1.37756326027563,0.53500500380005,5.54261579372616,6.95751630257516,7.49773529442735,0.432510753325108,2.62010476747605,1.12250750930007,73.9144413150944
RGA,AV,T21,0.864986509899295,2.61225555084096,5.23729806989161,9.72206316292981,2.26233129421785,1.27487527617042,3.59977081216624,1.66746101789871,72.7589583059851
RMO,AV,T21,0.70498400159984,2.60494325567443,10.154897010299,10.5272682731727,25.8762733726627,1.65248650134987,2.36990225977402,4.0223902609739,42.0868550644936
