Group.1,Group.2,Group.3,CLD,Context,A38B,A40B,A44B,A46B,A51B,A60B,A61B,A64B,A65B,A66B,A75B,A80B,A80B.1,A81B,A82B,A94B,A96B,A100B,A101B,A102B,A103B,A104B,A105B,A107B,A109B,A110B,A111B,A114B,A115B,A117B,A118B,A119B,A124B,A125B,A126B,A127B,A130B,A131B,A135B,A140B,A141B,A148B,A149B,A159B,A160B,A161B,A162B,A170B,A174B,A175B,A182B,A186B,A213B,A222B,A223B,A227B,A228B,A229B,A230B,A234B,A235B,A237B,A239B,A241B,A243B,A245B,A246B,A247B,A251B,A252B,A254B,A256B,A259B,A260B,A262B,A263B,A266B,A267B,A267B.1,A268B,A275B,A278B,A295B,A295B.1,A297B,A298B,A299B,A300B,A314B,A320B,A321B,A321B.1,A322B,A337B,A338B,A339B,A342B,A362B,A364B,A365B,A366B,A367B,A367B.1,A382B,A388B,A395B,A396B,A396B.1,A399B,A400B,A401B,A401B.1,A402B,A407B,A408B,A408B.1,A409B,A412B,A414B,A416B,A418B,A419B,A420B,A421B,A424B,A425B,A427B,A427B.1,A429B,A430B,A431B,A433B,A433B.1,A434B,A435B,A436B,A437B,A439B,A442B,A442B.1,A443B,A445B,A446B,A448B,A451B,A452B,A454B,A455B,A455B.1,A456B,A457B,B41B,B48B,B49B,B62B,B63B,B70B,B71B,B72B,B82B,B83B,B87B,B88B,B89B,B90B,B92B,B99B,B100B,B104B,B105B,B106B,B109B,B110B,B111B,B112B,B116B,B117B,B118B,B119B,B120B,B123B,B126B,B127B,B129B,B131B,B132B,B133B,B140B,B141B,B143B,B156B,B157B,B163B,B164B,B170B,B178B,B191B,B198B,B208B,B209B,B213B,B214B,B217B,B219B,B220B,B221B,B224B,B226B,B229B,B230B,B232B,B233B,B234B,B235B,B236B,B237B,B238B,B242B,B243B,B244B,B245B,B246B,B247B,B249B,B250B,B251B,B252B,B253B,B254B,B255B,B257B,B258B,B259B,B260B,B262B,B263B,B264B,B265B,B267B,B268B,B269B,B270B,B271B,B273B,B274B,B276B,B282B,B284B,B285B,B286B,B288B,B298B,B300B,B302B,B303B,B304B,B307B,B308B,B321B,B325B,B326B,B327B,B340B,B341B,B342B,B354B,B359B,B360B,B362B,B363B,B366B,B370B,B372B,B373B,B374B,B375B,B376B,B377B,B378B,B379B,B380B,B381B,B382B,B385B,B386B,B387B,B388B,B390B,B391B,B392B,B398B,B399B,B400B,B401B,B402B,B403B,B404B,B405B,B414B,B417B,B418B,B423B,B426B,B442B,B443B,B452B,B455B,B456B,B458B,B462B,B470B,B472B,B473B,B474B,B478B,B479B,B480B,B481B,B484B,B485B,B487B,B488B,B489B,B490B,B491B,B492B,B493B,B495B,B498B,B499B,E36G,E37G,E42G,E61G,E62G,E78G,E86G,E87G,E89G,E89G.1,E90G,E91G,E100G,E102G,E103G,E116G,E124G,E141G,E142G,E145G,E148G,E153G,E154G,E155G,E157G,E158G,E158G.1,E159G,E160G,E161G,E163G,E164G,E165G,E167G,E175G,E178G,E203G,E206G,E208G,E222G,E225G,E271G,E286G,E291G,E426G,E464G,E477G,E477G.1,E479G,E487G,E488G,E494G
GRC,am,T07,0.02,Med,0,0,0,0,0,0,0,0,4.67864359337777,0,0,0,0.966542750929368,0,0,0,0,0,3.81979155547511,0,4.89866099779988,0,0,0,0,0,0,0,0,8.89876321273236,1.090458488228,0,0,9.39997652513983,0,0,2.38290914976938,0,0,1.48698884758364,0,0,0,5.82754351000668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60995243322356,1.68313208927918,0,1.39041346505671,2.93760550180433,0,0,0,0,0,0,5.88365952831589,4.234881790898,0,7.76894477535153,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06567534076828,0,0,0,0,0,0,0,4.53612043186414,0,0,0,0,0,0,0,5.35990282394851,0,0,0,0,0,0,0,0,0,0,0,0,0,1.86608122941822,2.50814115564961,0,0,0.768277571251549,0,0,0,0,0,0,0,0,0,0,0,0,0,0.718711276332094,0,0,0,0,0,0,0,0,13.2764623523267,0,0.941759603469641,0,0,0,0,0,0,0,0,0,0,0,0,0,4.82111379127542,0.350877192982456,0,0,0,0,0,0,0,0,0,2.04961856764592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.69183563133004,0,0,0,0,0,0,0,0,0,2.74487100595679,0,0,57.3490293071727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.687577529682793,0,0,0,1.44737727622104,0,0,4.12163276854533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.82377871395692,0,0,0,0,0,0.354421407052986,0,0,0,0,0,0,0,0,0,0,18.7815067160281,0,0,0,0,0.776360092149566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,0,0,0,2.53333333333333,0,0.903333333333333,0,8.67333333333333,4.19333333333333,1.20666666666667,0,0,0,0,0,0,0,0,0,0,73.8366666666667,0,0,0,0,5.94,0,2.02333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRG,am,T07,0,UnP,0,0,0,0,0,0,0,0,0,0,0,0.993190478924085,0,0,0,0,0,0,1.04118663923126,0,2.22752040846242,0,0,0,0,0.599952003839693,0,0,0,5.67776869737259,0,0,0,4.9221502600424,0,0,0,0,0,0,0,2.932246843428,0,4.41301310996691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.17779633206627,0,0.560838819800049,0,2.65107439876807,3.76502771117901,0,0,0,0,0,0,0,13.2401715825052,0,0,0,0,0,0,0,7.72790621698365,0,0,0,0,0,14.1732940165806,0,0,0,0,0,0,0,1.19990400767939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29403898488302,0,0,0,0,0,0,0,0,0,0,0,0,0,0.633991709339186,1.05591552675786,0,1.13602031076724,0,0,0,0,0,0,0,0,25.5769919414232,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42791369909203,3.1155869980597,0,41.5816422921886,3.40058959887251,0,0,0,0,0,0,0,0,0,0.468441814595661,0,0,0,0,0,0,0,0,0,0,5.25179010721419,0,0,0,0,0,0,0,0,0,0,0,0,2.05527153417972,0.964391691394659,0,1.13558548276649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03903562109083,0,1.11115012963906,0,3.64025535762361,0,0,0,0,0,0,0,0,0,0,0,0,0.726532984597501,0,0,0,0,0,0,1.53130651589907,0,0,0,0,0,0,0,0,3.79113823201563,0,0,0,0,0,0.493096646942801,0,0,0,0,0,0,0,0,0,0,0,2.03838853690486,0,0,1.06162098572507,0,0,0,0,0,0.739644970414201,0.568743818001978,0,0,0,0,0,0,0,0,0,20.0047367710517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.791295746785361,0,0,0,0,1.06184046494478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48333333333333,0,0.283333333333333,0.8,4.92,0,7.17333333333333,0,0,9.14,0,0,0,0.42,0,0,0,0,23.8466666666667,0,0.34,1.77333333333333,0,29.3033333333333,0,14.2333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.283333333333333,0,0,0,0,0,0,0
RCA,am,T07,0,UnP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.02899689499869,0,0,0,0,0,0,0,0,6.24380969993208,0,0,0,14.2605948395319,0,0,1.29729195248866,0,0,2.13677723686872,0,5.43690369583296,0,25.301052960886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70048883688736,0.594553126198696,1.15161687509404,0,0,0,0,0,0,5.86428955692587,0,8.38718102462317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.498657460682777,0,0,0,0,0,1.32644944045845,2.10747623786551,0,0,0,0,0,0,1.05794157701387,0,0,0,0,0,0,0,0.681399631675875,0,0,0,0,2.38499578349223,1.41430016759216,0.441988950276243,0,0,0,0,0,0,0,0,0,0,0,0,1.9681084158677,0,0.498657460682777,0,0,3.52473030533776,0,0,0,0,0,0,0,0,3.21291650598717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.5759635070963,0,0,0,0,0,0,0,0,0,0,2.010011154742,0,0.336862367661213,0,0,0,0,2.26345789754462,0,0.336862367661213,1.68350168350168,2.9666814223336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70772259716367,0,0,22.9285094891431,0,0,0,0,0,0,0,0,2.06293143747346,0,0,0,4.15431795778242,0,0,0,0,0,0,0,0.911071499306793,3.71186021065739,0,0,0,0,0,0,0,0.567142334431028,0.368944497914661,0,1.82777960868474,0,0,3.16077787827045,0,0,0,0,0,0,0,0,0,0,0,0,0.585437248444932,0,0,2.37296325871158,0,0,0,0,0,1.13302532200794,0,0,0,0,0,0,0,0,0,0,16.4331432453729,1.14710295313817,0,0,0,0.336862367661213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417067693294835,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566666666666667,0,0,0,1.75666666666667,0,0.406666666666667,0,0.323333333333333,0,12.9866666666667,0,0,0,0,0,0,0,0,0,0,0,67.7733333333333,0,0,1.72666666666667,2.38666666666667,2.15333333333333,4.71,4.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286666666666667,0,0,0,0,0,0
RGA,am,T07,0.04,UnP,0,0,0,0,0,0,0,0,1.92418074503095,0,0,0,0,0,0,0,0,0,0,0.43859649122807,0,0,0,0,0,0,0,0,0,8.49758537413832,0,0,0,54.4598367969289,0,0,0,0,0,0,0,0,0,0.591715976331361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.407348013658,0,0,0,0,0,0,0,0,0,7.79762394697525,0,0,0,0,0,0,0,0,0,0,0,0,0,2.59063482631946,0,0,0,0,0,0,0,1.43446297292451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07264590598396,0,0,0,0,0,0,0,0,0,0,0,0,0,3.99836958419234,0.986193293885602,0,0,0,0,0,0,0,0,0,0,0,0,0.657894736842105,2.14291133556113,0,0,0,0,1.62939089627662,0,0,0,0,0,0,0,0,0,20.9349197749893,1.48268853539399,0,0,0,0,0,0,0,0,0,2.99061061484961,0,7.1116306160134,0,0,0,0,0,0,0,9.31106815277077,0,0,0,0,0,0,0,0,0.360117038037362,0,0,0,0,0,2.84216571661131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.984516653791445,0,0,0.78775602070673,0.504668180671209,0,0,0,0,0,0,0,0,0,0,0,2.17530865740761,0,0,0,0,0,0,0,0,0,0,0,0,6.90273996870867,0,0,1.74099944722893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.97987699522405,1.20076849183477,0,2.40687552744085,0,0,0,0,0,2.46766669060788,0,0,0,0,0,0,0,0,0,0,29.9967128617217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18951915971373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273333333333333,0,0,0,31.3233333333333,0,0,0,5,0,11.6433333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.97,8.41333333333333,0,28.75,0,0,0,0,0,0,0.623333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RMO,am,T07,0.25,Med,0,0,0,0,0,0,0,0,0,0,0,0,0.318531009930673,0,0,0,0,0,4.9613055562458,0,2.06595735070919,0,1.233876345176,0,0,2.72463403460581,0,0,0,0.993908524624015,0,0,0,2.08912158513124,0,0,0.78181569837172,0,0,0.800552816602936,0,2.63575112046365,0,6.96690629934443,0,0,0,0,0,0,0,0.262319655237025,0,0,0,0,0,0,0,0.393479482855537,0,0,0,0,0,0,3.49200500417192,0,0,0.262319655237025,0,0.299793891699457,1.53062453506145,0,0,0,10.0556618714488,0,0,0,0,0,0,0,6.81742339249451,0,0,0,0,0,16.3931040761578,0,0,0,0,0,0,0,0,2.12218972490408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299793891699457,0,0,0,0.449690837549185,0,0,1.80620451936975,0,0,0.524639310474049,0,0,0,0,3.26199529855673,0,0,0,0,0,1.45434452589355,0,0,4.99274360845264,0,0,0,0,0,0,0,0,20.0093063775317,0,0,0,0,0,0,0,0,0,0,0.706493502263092,0,0,1.79840412024767,0,15.7473342053213,0.598937592734652,0,0,0,0,0,0,0,0,0,2.60303647347404,0.251635631605435,0,0,0,0,0,0.335514175473914,0,0,0.587149807079349,1.31002728634454,0.364077669902913,0,0,0,0,0,0,0,0,0,0,0,0.251635631605435,0,0,0,0,0.311869381764814,0,0,0,0,0,0,0,0,1.51509846820975,0,0,0,0,0,0,0,0,0,0,0,2.485918124898,6.86811550809486,14.315186378146,0,0,0,0,0,0,0,0,0,0,0.623738763529628,0,0,0,2.77491108381793,0,0,0.301962757926522,0,0,0,10.0504784587197,0,0,0,0.545159755619378,0,0,0.366905155017428,0,3.26219680218585,0,1.3488783574991,0,0,1.99203170124827,0,1.16715125303643,0,0,0,0,0,0,0,0,0,0,0,0,0,1.67986148552795,0,0,0,0,0,0.656166375942005,0,0,0,0,0,0,0,0,0,1.47653721682848,11.2098545618718,0,3.60306476098645,0,0,6.80141086986133,0,0,0,0.364077669902913,0,0,0,0,0,0,0,0,0,0,0,0,0,1.72517901331305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.76333333333333,1.52333333333333,0.56,2.52333333333333,0.826666666666667,0,9.29,0,3.12666666666667,0,0,0,0,0,0,0,0,0,14.9833333333333,0,0,0,15.25,24.4566666666667,15.6766666666667,9.35333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667,0,0,0
RPE,am,T07,0.02,UnP,0,0,0,0,0,0,0,0,0,0,0,1.04725415070243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1129439821415,0,0,0,15.4805257074763,0,0,1.35376756066411,0,0,0,0,0,0,0,0,0,0.587484035759898,0,2.09450830140485,0,0,0,0,0,0,0,0,1.60919540229885,0,0,0,0,0.587484035759898,0,0,0,14.6536453995225,0,0,0,0,0,0.715197956577267,0,0,0,15.4984950758045,0,0,1.53256704980843,0,0,0,0,0,0,0,0,0,0,4.19887278582931,0,0,0,0,0,0,0,0.996168582375479,0,0,0,0,0,0,0,0.561941251596424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.73688155922039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5355493612564,8.03140096618357,0,0,0,0,0.69910514541387,0,0,0,0,0.643176733780761,0,0,0,0,19.292728035057,0,0,0,0,0,0,0,0,0,0,0,0,7.41844411636181,0,0,0,0,2.00816638912718,0,0,0,0,1.06263982102908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.53845832521095,0,17.1271252523057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.30071351576003,0,0,0,0,0,0.978747203579418,0,0,0,0,0,0,0,0,0,0,0,0,1.17565698478562,0,0,0,0.671140939597315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.822405927096,0,19.2614916108953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0,41.5966666666667,0,0,0,0,0,10.4333333333333,0,0,1.75,0,0,0,0,0,0,0,0,16.9066666666667,0,0,0,11.1633333333333,12.9,4.33666666666667,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRC,av,T07,1.04,Ext,0,0,0,0,0,0,0,0.342999688182102,0,0,0,0,0,0,0,0.965662742732941,0,0.743724417106787,10.2655779202589,0,3.06089900343953,0,0,0.674029243871319,0,0,0,0,0,0.26504521359526,0,0,0,1.25795285553237,0,0,0.915224261197838,0,0.249454318677892,3.23903734499815,0.311817898347365,1.64188932770714,0,9.30116338704644,1.88433036778965,0,0,0,0,0,0,0,0,0,0,0.805160288990883,0,0.35859058309947,0,0,0,0,0,0,0,0,15.42503780262,0,0,3.76027269658575,0,0.828037743115733,0,0,0,0,1.64132496925089,0,0,0,0,0,0,0,0.385133834007318,0.365877142306952,0,0,0,0,5.00730187305449,0,0,0,0,0,0,0.296227003429997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.843673672391615,0,0,0,0,1.79832759297686,0,0.346620450606586,0,0,0,2.11828112139876,0,0,0,0,0,0,0,0,0,4.10414143963149,0,0,0,7.54373753570203,0,0,0,0,0,0,0,4.57866912482209,3.82893284819066,0,10.8458442873348,0,0,0,0,0,0,0,0,1.04370032207163,0,0,3.44129593526062,0,10.8097247494921,2.47940570625874,0,0,0,0,0,0,0,0,0,4.69626976995052,0,0,0,0,0,0,0,0,2.28972709371092,0,1.5186655011223,2.71247597444576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.498604169229106,0,0,0,0,0,0,0,0,0.666416427833747,0,0,0,0,0,0,0,0,0,0,4.70381509613778,0,12.7678511630853,0,3.09215087266377,0,0,0,0,0,0,0,0.259909031838856,0,0,0,1.84504226065847,0,2.11967387524991,0,0.611382574416354,0,0,0,0,0,0,0,0,0.721676189624262,0,0,1.21226165592004,1.95065331340532,1.12075198843095,0,1.7086589570425,0,0,3.87327606679371,0,0,0,0,0,0,0,0,0,0,0.239005736137667,0,0,0,0,1.37402107932501,0,0,0,0,0,1.91306298209288,0,0,0,0,0.286806883365201,0,0.499225366723941,0,0,7.19912467101428,8.72459289108001,4.11896351637582,0,0,0,6.62837669988505,0,0,0,1.55547266544124,0,0,0,0,0,0,0,0,0,0,0,0,0,0.839947341640838,0.478011472275335,0,0,0,0,0,0,0,0,0,0,0.623333333333333,0,0.24,0,1.27333333333333,0,0,0,3.42333333333333,6.41,10.01,0,0,0,0,0,0,0,0,0,0,56.16,0,0,0,0,16.7433333333333,1.12333333333333,3.99333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRG,av,T07,0.01,UnP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.38743210940112,0,0.501367365542388,10.9573328693657,0.283050283050283,8.91113699089998,0,1.01106732829613,0,0,0,0,0,0,0.875787840236336,0.366300366300366,0,0,7.17769448216121,0,1.06424233452492,0,0,0,0,0,1.75890472335322,0,4.77158435271471,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34062957536066,0,0.24975024975025,0,0,0,0,0,0,10.6622139803544,0.273473108477666,0.829263329263329,0,0,0,0.243087207535703,0,0,0,3.3935831041574,0,0,0,0,0,0,1.96809178532059,0,0.516150516150516,0.266400266400266,0,0,0,5.38625406127685,0.950572267801074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449550449550449,0,0,0,0,0,0,4.51873357069346,0,0,0,0,0,0,0,0,0.349437860832574,0,0,0,0,0,0.455788514129444,0,0.673807673807674,3.59485064042949,0,0,0,0,0,0,0,5.448182375712,17.3642784171499,0,0,0,0,0,0,0,0,0,0,0.71468330588302,0,0,11.8118302532219,0,22.4493678057926,0,0,0,0,0,0,0,0,0,0,1.66369122273135,1.62668732730684,0,0,0,0,0,0.772744809380049,0,0.523864959254948,0.770267668014635,1.58476462446774,0,0,0,0,0,0,0,0,0,0,0,0,0.442903909108415,0,0,0,0,0,0,0,0,0,0,0,0,2.38677938300293,0,0,0,0,0,0,0,0,0,0.539187367610245,0,0,20.762380907176,0,4.10196387654566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82265246997166,0,0,0,0,0,0,0,0,0,0,0.291036088474971,0,0,0.310438494373302,0,4.05945034602693,0,2.28432358218999,0,0,0,0,0,0,0,0,0,0,0,0.869319696277809,0,0,0,0,0,0,0,0,0,0,0,0,0,0.950717889018238,0,0,0,0.504462553356616,0,0.485060147458285,0.481417292509147,0,0,1.96021233474697,0,0,0,0,15.4417435681331,0,0,0,0,0,0,0,0.388048117966628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246666666666667,0,0,0,0.163333333333333,0,0,0,1.01,0,5.43333333333333,0,1.1,0,0,0.266666666666667,0,0,0,0,0.56,0,13.4566666666667,0,0,0,21.1333333333333,31.3533333333333,24.1566666666667,0.66,0,0,0,0,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
